"","non_treatment_1","non_treatment_2","non_treatment_3","control_1","control_2","control_3","siSOX10_1","siSOX10_2","siSOX10_3","siSOX10_control_1","siSOX10_control_2","siSOX10_control_3"
"ENSG00000269896.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272420.1",3,3,2,3,0,2,3,1,3,7,6,0
"ENSG00000295371.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157916.21",3934,2974,4206,4027,3920,3577,4650,4902,4163,4622,3955,4793
"ENSG00000157911.12",736,579,825,788,820,701,635,702,646,641,463,831
"ENSG00000149527.18",0,0,0,0,0,0,0,0,0,0,0,9
"ENSG00000224387.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229393.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157881.17",945,739,1869,1285,1198,2077,1991,2082,2010,1547,1302,1803
"ENSG00000197921.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272449.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238164.7",1,1,0,6,4,0,4,1,0,0,1,0
"ENSG00000307979.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157873.19",2517,1727,2722,3429,3072,1857,808,829,264,717,510,430
"ENSG00000225931.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000307958.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228037.2",0,0,0,0,0,0,3,0,0,3,0,0
"ENSG00000289610.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157870.18",395,329,502,381,488,412,307,357,208,266,269,310
"ENSG00000142606.16",51,16,20,27,34,29,23,37,11,9,6,7
"ENSG00000237058.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215912.13",0,0,2,0,1,0,2,0,0,0,1,0
"ENSG00000285945.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287396.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302855.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295089.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000300015.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284745.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177133.15",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142611.17",0,0,0,0,0,0,0,0,0,0,4,0
"ENSG00000283572.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306427.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279839.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306439.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272235.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287828.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286518.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295754.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000297626.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000130762.16",4,29,37,21,8,13,41,11,0,21,31,5
"ENSG00000272088.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162591.18",0,6,0,2,0,0,6,40,24,18,9,0
"ENSG00000207776.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000309127.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238260.4",8,4,5,1,10,8,43,25,3,14,22,12
"ENSG00000158109.16",273,171,358,277,351,502,418,371,311,380,298,538
"ENSG00000116213.17",1087,845,1255,1334,1323,1121,1580,1439,789,1650,1568,1381
"ENSG00000078900.17",220,50,154,53,187,163,100,101,100,148,101,112
"ENSG00000227589.1",3,0,2,0,0,0,0,1,2,2,0,0
"ENSG00000235131.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000293478.2",140,124,168,140,161,189,249,172,150,237,156,401
"ENSG00000276189.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227372.13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162592.10",0,0,0,0,16,0,1,0,0,4,1,5
"ENSG00000296834.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235169.12",74,60,108,129,104,146,43,70,43,93,89,64
"ENSG00000130764.11",1654,1422,1898,1587,1646,1885,2084,2369,2130,1931,1718,2239
"ENSG00000266075.2",0,0,2,1,2,1,1,7,0,0,7,0
"ENSG00000272153.1",1,3,2,10,5,0,7,4,8,4,11,1
"ENSG00000116198.15",1123,742,1264,862,1048,936,1148,1192,692,975,771,542
"ENSG00000169598.18",307,150,313,294,309,184,135,175,167,199,171,161
"ENSG00000198912.12",759,510,1126,659,687,919,1196,1335,1195,1262,1025,1680
"ENSG00000236423.9",22,11,25,22,10,1,9,3,6,25,15,17
"ENSG00000233304.8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226374.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284668.3",51,65,55,82,94,80,72,53,48,54,60,105
"ENSG00000284703.2",2,8,2,0,2,0,2,0,1,1,0,0
"ENSG00000296871.1",0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000308587.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000301255.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000299169.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302287.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306535.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284694.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000299517.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295490.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232596.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000300565.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000303830.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196581.12",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287586.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284739.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000309102.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000309111.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231510.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000296716.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302269.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306645.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284616.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302445.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302452.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295735.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284692.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284666.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000299325.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000289893.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264341.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295108.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295122.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000298180.1",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131697.19",231,262,237,339,373,279,511,399,521,540,495,461
"ENSG00000299539.1",0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000069424.16",145,192,302,146,193,269,202,134,157,96,161,131
"ENSG00000116254.18",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285629.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116251.12",764,568,798,802,870,1035,507,716,540,667,508,606
"ENSG00000226944.2",42,19,15,62,51,38,8,3,0,9,16,4
"ENSG00000158286.14",155,101,136,283,299,35,130,87,30,82,105,43
"ENSG00000116237.17",2948,2312,3304,2997,2998,2879,2780,3231,3559,3089,2487,4539
"ENSG00000225077.4",8,14,10,40,12,24,17,4,11,33,37,23
"ENSG00000173673.9",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158292.8",206,169,290,198,235,385,280,280,214,289,272,326
"ENSG00000097021.22",10076,8016,13782,10556,10935,13685,7627,7143,7375,8479,6831,11576
"ENSG00000271746.1",2,1,0,4,1,1,2,0,0,0,1,0
"ENSG00000069812.12",13,5,2,16,3,7,7,13,0,0,2,0
"ENSG00000187017.18",21,20,31,21,34,15,13,7,0,13,10,7
"ENSG00000265392.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215788.12",12,7,14,49,22,8,88,63,17,51,80,38
"ENSG00000171680.24",15,86,70,36,80,32,100,159,84,170,142,122
"ENSG00000297749.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000299237.1",1,0,1,1,1,0,0,3,0,7,1,1
"ENSG00000299253.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162408.12",875,504,653,732,903,590,658,644,487,549,534,767
"ENSG00000253022.1",0,0,0,1,0,0,0,0,0,0,2,0
"ENSG00000229519.2",5,0,5,8,2,3,4,4,0,3,3,6
"ENSG00000173662.21",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000204859.14",420,215,479,501,469,500,804,850,498,745,749,816
"ENSG00000162413.17",1199,780,1239,961,1147,1160,1401,1647,1336,883,787,1115
"ENSG00000295286.1",0,0,0,0,0,0,2,0,0,0,0,0
"ENSG00000304810.1",1,1,4,5,1,1,5,3,0,2,0,2
"ENSG00000116273.7",1021,587,1139,738,851,1183,1230,1472,1585,1099,872,1505
"ENSG00000041988.17",580,406,967,742,718,845,1059,1033,740,871,803,913
"ENSG00000007923.18",1050,953,1067,1077,1443,1001,937,952,670,1076,834,985
"ENSG00000228750.8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237436.2",19,13,36,43,14,15,14,14,2,23,14,10
