"","non_treatment_1","non_treatment_2","non_treatment_3","control_1","control_2","control_3","siSOX10_1","siSOX10_2","siSOX10_3","siSOX10_control_1","siSOX10_control_2","siSOX10_control_3"
"ENSG00000127564.18",407.38646836054,296.126664993964,446.397858956193,400.540385305438,329.381429066099,595.255830199846,565.759412915252,545.02308314871,484.735480239471,348.767153467089,435.200034918216,699.039844526963
"ENSG00000162073.15",1141.88620934555,1057.5952321213,1098.61988042512,944.402093314955,991.952164990968,976.022782740904,434.320357389486,497.039323336614,437.056580543786,557.677804290733,511.625406903854,504.359058810257
"ENSG00000006327.15",290.990334543243,330.498510037906,276.21424406471,441.353742101964,362.700359751976,441.768376462365,1192.47606897289,1243.0509853209,2402.10837514455,2547.13655439372,3152.54659440757,6010.65607249998
"ENSG00000131652.15",276.942525289431,249.856873588657,257.502956563552,321.761115209819,362.700359751976,186.939847500778,295.261646470923,238.108091143041,246.340981761043,400.339238816859,374.696615429586,644.710322931603
"ENSG00000103145.12",4.01365978680335,5.28797616060649,1.78202738106265,7.59318265981874,12.3756028261829,5.90336360528773,5.7147415445985,15.3910172982194,5.67605948758163,10.4892376982583,15.9219524970079,9.05492026589331
"ENSG00000261971.10",12.04097936041,15.8639284818195,11.5831779769072,30.372730639275,28.5590834450375,13.7745150790047,20.9540523301945,13.5803093807818,9.08169518013061,31.4677130947749,36.0897589932179,5.43295215953598
"ENSG00000008517.20",21.0717138807176,21.151904642426,35.6405476212529,33.220174136707,22.84726675603,29.5168180264386,71.4342693074813,73.3336706562218,123.73809682928,136.360090077358,151.789280471475,509.792010969793
"ENSG00000263072.11",171.583955885843,81.9636304894006,119.395834531197,124.338366054532,142.795417225187,70.8403632634527,166.679961717456,179.26008382632,107.845130264051,104.892376982583,177.264404466688,121.33593156297
"ENSG00000122386.12",54.1844071218452,33.0498510037906,77.5181910762251,93.0164875827795,85.6772503351124,59.0336360528773,104.770261650973,69.7122548213466,51.0845353882347,71.6764576047651,73.2409814862364,91.4546946855224
"ENSG00000085644.15",42.1434277614351,58.1677377666714,76.6271773856938,19.9321044820242,67.589830819922,66.9047875265942,92.3883216376758,72.428316697503,37.4619926180388,89.1585204351956,70.0565909868348,110.470027243898
"ENSG00000306338.1",1.00341494670084,1.32199404015162,11.5831779769072,2.84744349743203,1.90393889633583,6.88725753950235,25.7163369506933,10.8642475046255,0,9.61513455673678,11.6760984978058,8.14942823930398
"ENSG00000168124.4",11.0375644137092,1.32199404015162,25.8393970254084,0,6.66378613717541,1.96778786842924,5.7147415445985,12.674955422063,0,16.607959688909,20.16780649621,6.33844418612531
"ENSG00000010539.13",264.901545929021,200.943094103047,190.676929773703,230.642923291994,180.874195151904,156.439135540125,174.299617110254,175.638667991445,204.338141552939,288.454036702103,170.895623467885,251.726783391834
"ENSG00000281005.2",19.0648839873159,3.96598212045487,0.891013690531323,21.8304001469789,16.1834806188546,3.93557573685849,2.85737077229925,5.43212375231273,3.40563569254898,11.3633408397798,5.30731749900264,4.52746013294665
"ENSG00000006194.12",462.574290429086,413.784134567458,509.659830983917,577.081882146224,503.591838080827,426.026073514931,875.307913247671,797.616837631252,682.262350407312,721.135091755258,603.9727313865,745.219937883019
"ENSG00000140993.12",36.1229380812301,34.3718450439422,12.4741916674385,32.2710263042296,33.318930685877,20.661772618507,65.7195277628828,37.1195123074703,31.7859331304571,28.8454036702103,65.8107369876327,31.6922209306266
"ENSG00000162086.17",101.344909616785,163.927260978801,78.4092047667564,122.440070389577,176.114347911064,124.954529645257,144.773452463162,161.153004651944,66.9775019534633,192.302691134736,171.957086967685,57.0459976751278
"ENSG00000140987.23",292.997164436644,298.770653074267,212.952272036986,253.42247127145,216.097064734117,233.182862408865,356.218889613307,259.836586152292,215.690260528102,295.446861834276,226.091725457512,169.327008972205
"ENSG00000103343.14",231.788852687893,186.401159661379,171.074628582014,168.948314180967,220.856911974956,184.972059632349,255.258455658733,192.840393207102,220.231108118167,202.791928832994,159.219524970079,107.75355116413
"ENSG00000122390.20",532.813336698144,608.117258469747,515.896926817636,441.353742101964,506.447746425331,459.478467278228,580.046266776748,568.562286075399,616.420060351365,581.278589111814,560.452727894679,687.268448181302
"ENSG00000103351.14",155.52931673863,240.602915307595,189.785916083172,214.507410139879,181.826164600072,113.147802434681,215.255264846544,164.774420486819,223.636743810716,180.939350294956,182.571721965691,55.2350136219492
"ENSG00000188827.12",11.0375644137092,27.7618748431841,32.967506549659,41.7625046290031,21.8952973078621,31.4846058948679,21.9065092542943,37.1195123074703,35.1915688230061,78.6692827369373,40.33561299242,66.1009179410211
"ENSG00000213918.11",51.1741622817427,19.8299106022743,49.0057529792228,52.2031307862538,64.7339224754182,32.4684998290825,69.5293554592818,39.8355741836267,64.7070781584306,73.4246638878081,76.425371985638,49.8020614624132
"ENSG00000126602.12",2388.12757314799,2088.75058343956,2307.72545847613,2413.68293798988,2498.91980144078,2827.71116693282,2549.72718581503,2352.10958475141,2495.19575074089,2233.3335265875,2218.4587145831,2119.75683424562
"ENSG00000005339.15",130.443943071109,140.131368256072,55.242848812942,134.778992211783,175.162378462896,150.535771934837,118.104658588369,107.737121087536,147.577546677122,118.003924105406,137.990254974069,169.327008972205
"ENSG00000162104.11",85.2902704695711,111.047499372736,107.81265655429,65.4912004409366,83.7733114387765,171.197544553344,98.1030631822743,60.6587152341588,141.901487189541,93.5290361428032,63.6878099880317,59.7624737548958
"ENSG00000262468.9",35.1195231345293,3.96598212045487,21.3843285727517,46.5082437913898,5.71181668900749,2.95168180264386,31.4310784952918,33.4980964725951,0,16.607959688909,7.43024449860369,5.43295215953598
"ENSG00000090447.13",12.04097936041,2.64398808030325,0.891013690531323,4.74573916238671,9.51969448167915,2.95168180264386,9.52456924099751,8.14818562846909,3.40563569254898,2.62230942456458,4.24585399920211,0
"ENSG00000126603.10",3.01024484010251,7.93196424090974,14.2562190485012,7.59318265981874,0,2.95168180264386,9.52456924099751,11.7696014633442,1.13521189751633,9.61513455673678,1.06146349980053,4.52746013294665
"ENSG00000217930.9",18.0614690406151,15.8639284818195,16.0382464295638,11.3897739897281,13.3275722743508,12.7906211447901,19.049138481995,14.4856633395006,7.94648328261429,10.4892376982583,8.49170799840422,9.05492026589331
